Index,LayerName,LayerType,OutputSize,NumWeights,NumBiases,TotalParams,IsLearnable
1,imageinput,nnet.cnn.layer.ImageInputLayer,N/A,0,0,0,0
2,conv_1,nnet.cnn.layer.Convolution2DLayer,N/A,432,16,448,1
3,batchnorm_1,nnet.cnn.layer.BatchNormalizationLayer,N/A,0,0,0,0
4,relu_1,nnet.cnn.layer.ReLULayer,N/A,0,0,0,0
5,maxpool_1,nnet.cnn.layer.MaxPooling2DLayer,N/A,0,0,0,0
6,conv_2,nnet.cnn.layer.Convolution2DLayer,N/A,4608,32,4640,1
7,batchnorm_2,nnet.cnn.layer.BatchNormalizationLayer,N/A,0,0,0,0
8,relu_2,nnet.cnn.layer.ReLULayer,N/A,0,0,0,0
9,maxpool_2,nnet.cnn.layer.MaxPooling2DLayer,N/A,0,0,0,0
10,conv_3,nnet.cnn.layer.Convolution2DLayer,N/A,18432,64,18496,1
11,batchnorm_3,nnet.cnn.layer.BatchNormalizationLayer,N/A,0,0,0,0
12,relu_3,nnet.cnn.layer.ReLULayer,N/A,0,0,0,0
13,maxpool_3,nnet.cnn.layer.MaxPooling2DLayer,N/A,0,0,0,0
14,fc_1,nnet.cnn.layer.FullyConnectedLayer,32,524288,32,524320,1
15,relu_4,nnet.cnn.layer.ReLULayer,N/A,0,0,0,0
16,fc_2,nnet.cnn.layer.FullyConnectedLayer,1,32,1,33,1
17,regressionoutput,nnet.cnn.layer.RegressionOutputLayer,N/A,0,0,0,0
